id,mode,tier,group,experiment,setting,algorithm,setup,arm,reduced_from_k,dataset,model,loss,group_n,coset_subgroup,task,optimizer,p,hidden_width,n_layers,activation,init_scale,batch_size,n_train,n_test,alpha,seed,num_clients,local_epochs,num_rounds,fraction_train,partition,dirichlet_alpha,proximal_mu,strategy,server_lr,server_momentum,tau,eval_every,checkpoint_every,epochs,log_every,momentum,lr,weight_decay,grok_threshold,t_grok,t_first_cross,t_50,t_memo,delay,post_grok_dips,final_acc,final_train_acc,peak_train_acc,final_ipr,grokked,censored,steps_run,wall_s,checkpoint_client_weights,d_mlp,feddyn_alpha,n_heads,persist_local_opt_state,track_client_drift
fede_99aa581ec6e1,federated,T3a,dirichlet_setups,exp3a,,,C,,,s5,transformer,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.4,123,10,5,40000,1.0,dirichlet,0.01,0.0,fedavg,1.0,0.0,0.001,20,4000,10000,100,0.0,0.001,1.0,85.0,inf,inf,12700.0,inf,inf,0,51.273149251937866,56.44097328186035,67.84722208976746,nan,False,True,200000.0,15189.7,True,512,0.01,4,False,True
fede_9a03ff168a01,federated,S2b,mnist_fl,gate_a,,,E,,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,2000,5000,0.5,42,10,5,4000,1.0,label_block,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,0.1,90.0,inf,inf,2800.0,inf,inf,0,44.57999765872955,50.90000033378601,91.80000424385071,nan,False,True,20000.0,738.7,False,512,0.01,4,False,True
fede_9b139f4cd2d1,federated,T1,setup_k_ladder,replication,,,C,,,s5,transformer,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,123,5,5,40000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,4000,10000,100,0.0,0.001,1.0,85.0,7400.0,7400.0,7100.0,1200.0,6200.0,0,100.0,100.0,100.0,nan,True,False,200000.0,8471.4,True,512,0.01,4,False,True
fede_9b87b004e8d2,federated,T3b,partitions,exp3b,,,D,,,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,42,20,5,50000,1.0,dirichlet,0.5,0.0,fedavg,1.0,0.0,0.001,20,5000,10000,100,0.0,0.001,1.0,85.0,223100.0,192400.0,44900.0,38600.0,184500.0,108,85.98214387893677,99.97684955596924,100.0,nan,True,False,250000.0,12972.3,True,512,0.01,4,False,True
fede_9c16219990c6,federated,T3b,partitions,exp3b,,,E,,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,2000,5000,0.5,456,20,5,8000,1.0,dirichlet,0.5,0.0,fedavg,1.0,0.0,0.001,20,800,10000,100,0.0,0.001,0.1,90.0,6300.0,6300.0,1400.0,1400.0,4900.0,0,93.73999834060669,100.0,100.0,nan,True,False,40000.0,2405.5,True,512,0.01,4,False,True
fede_9d011711aabb,federated,S2,fl_probe,probe,,,C,,,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.5,123,10,5,2000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.001,1.0,85.0,5100.0,5100.0,4900.0,4800.0,300.0,0,100.0,100.0,100.0,nan,True,False,10000.0,432.6,False,512,0.01,4,False,True
fede_9df5ff36ccf9,federated,T3b,partitions,exp3b,,,C,,,s5,transformer,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.4,456,50,5,40000,1.0,target,0.5,0.0,fedavg,1.0,0.0,0.001,20,4000,10000,100,0.0,0.001,1.0,85.0,inf,inf,inf,inf,inf,0,0.8217592723667622,0.850694440305233,1.64930559694767,nan,False,True,200000.0,30302.2,True,512,0.01,4,False,True
fede_9fa1b4078c7a,federated,T2,aggregation_alpha2,exp2,,,E,fl,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,4000,5000,0.5,456,20,5,8000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,800,10000,100,0.0,0.001,0.1,90.0,inf,1959.75,154.25,inf,inf,269,76.81999802589417,93.60000491142273,98.17500710487366,nan,False,True,11878.75,1881.8,True,512,0.01,4,False,True
fede_a075cc3125ce,federated,T5,local_epochs,exp_e,,,C,,,s5,transformer,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,456,10,10,20000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,10,2000,10000,100,0.0,0.001,1.0,85.0,5400.0,5400.0,5200.0,4700.0,700.0,0,100.0,100.0,100.0,nan,True,False,200000.0,9313.4,True,512,0.01,4,False,True
fede_a2d499b16be6,federated,T5,local_epochs,exp_e,,,E,,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,2000,5000,0.5,456,10,10,2000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,10,200,10000,100,0.0,0.001,0.1,90.0,5100.0,5100.0,900.0,800.0,4300.0,0,93.03999543190002,100.0,100.0,nan,True,False,20000.0,849.4,True,512,0.01,4,False,True
