id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,path,step_a,step_b,barrier_train_loss,barrier_rel,min_test_acc_path,min_test_acc_lambda,test_acc_mid,test_acc_start,test_acc_end,train_loss_start,train_loss_end
fede_addition_e946935e6d98,B,federated,partitions,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,456,10,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,56000.0,56100.0,96700.0,True,99.9738872051239,98.34433794021606,100000.0,partition,memo_to_end,60000.0,100000.0,3.810380468517542,60.738355084810706,4.127978324890137,0.5,4.127978324890137,99.22810363769531,98.3443374633789,0.051010195165872574,0.07445847988128662
fede_addition_e946935e6d98,B,federated,partitions,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,456,10,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,56000.0,56100.0,96700.0,True,99.9738872051239,98.34433794021606,100000.0,partition,init_to_end,0.0,100000.0,2.246670413017273,0.931967823971653,0.8278330564498901,0.0,2.584181785583496,0.8278330564498901,98.3443374633789,4.746889114379883,0.07445847988128662
fede_addition_e946935e6d98,B,federated,partitions,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,456,10,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,56000.0,56100.0,96700.0,True,99.9738872051239,98.34433794021606,100000.0,partition,fed_to_twin,100000.0,100000.0,4.342769291344905,116.64896344093135,4.485960483551025,0.4,5.168363571166992,98.3443374633789,100.0,0.07445847988128662,2.922027704244101e-07
fede_addition_e9de3f5a209a,B,federated,aggregation_alpha2,fl,modular,transformer,adamw,ce,0.4,1000,128,1.0,0.001,42,20,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,inf,inf,inf,False,48.991578817367554,37.87522614002228,100000.0,K,init_to_end,0.0,100000.0,1.9495082020759584,0.6334240992822472,0.796136736869812,0.4,1.096319556236267,0.991908073425293,37.87522506713867,4.748482704162598,1.4069768190383911
fede_addition_e9de3f5a209a,B,federated,aggregation_alpha2,fl,modular,transformer,adamw,ce,0.4,1000,128,1.0,0.001,42,20,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,inf,inf,inf,False,48.991578817367554,37.87522614002228,100000.0,K,fed_to_twin,100000.0,100000.0,3.851157118420815,5.474204756954976,2.414513111114502,0.5,2.414513111114502,37.87522506713867,99.99999237060547,1.4069768190383911,4.293612437322736e-05
fede_addition_ec793af1a5f4,A,federated,participation_setups,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,42,20,5,0.25,iid,0.5,fedavg,1.0,0.0,40000,10000,95.0,1099.969879518073,3400.0070871721987,3400.0070871721987,True,100.0,100.0,50000.076187099156,f,init_to_end,0.0,50000.076187099156,0.0026826086716937427,0.520221422660019,0.9412479400634766,0.0,99.96963500976562,0.9412479400634766,100.0,0.01031182985752821,1.5042530776554486e-06
fede_addition_ec793af1a5f4,A,federated,participation_setups,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,42,20,5,0.25,iid,0.5,fedavg,1.0,0.0,40000,10000,95.0,1099.969879518073,3400.0070871721987,3400.0070871721987,True,100.0,100.0,50000.076187099156,f,fed_to_twin,50000.076187099156,50000.0,0.0032182994528966447,204.44719245345337,100.0,0.0,100.0,100.0,100.0,1.5042530776554486e-06,2.997868796228431e-05
fede_addition_ec9206eb03d3,B,federated,aggregation_alpha2,fl,modular,transformer,adamw,ce,0.4,1000,128,1.0,0.001,456,5,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,1400.0,2100.0,2100.0,True,100.0,99.99999403953552,100000.0,K,init_to_end,0.0,100000.0,2.0116290704177544,0.8478059770133354,0.7308796644210815,0.2,3.014878511428833,0.8744453191757202,99.99999237060547,4.7454938888549805,6.839300681349414e-08
fede_addition_ec9206eb03d3,B,federated,aggregation_alpha2,fl,modular,transformer,adamw,ce,0.4,1000,128,1.0,0.001,456,5,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,1400.0,2100.0,2100.0,True,100.0,99.99999403953552,100000.0,K,fed_to_twin,100000.0,100000.0,4.625789691893113,187989.13754799135,2.675541400909424,0.5,2.675541400909424,99.99999237060547,99.99999237060547,6.839300681349414e-08,4.914497912977822e-05
fede_addition_ee7b3a321467,B,federated,k_collapse_budget,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,50,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,inf,inf,inf,False,37.806788086891174,24.331581592559814,100000.0,K,init_to_end,0.0,100000.0,2.3829851150512695,0.6916473233653874,0.9397024512290955,0.1,1.264123558998108,0.9844501614570618,24.331581115722656,4.747772693634033,2.142979383468628
fede_addition_ee7b3a321467,B,federated,k_collapse_budget,,modular,transformer,adamw,ce,0.3,1000,128,1.0,0.001,42,50,5,1.0,iid,0.5,fedavg,1.0,0.0,20000,10000,95.0,inf,inf,inf,False,37.806788086891174,24.331581592559814,100000.0,K,fed_to_twin,100000.0,100000.0,3.5809178141950326,3.341998876054615,1.096319556236267,0.4,3.199462890625,24.331581115722656,100.0,2.142979383468628,2.804997052407998e-07
fede_addition_f0b331026554,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,456,10,5,1.0,operand,0.5,fedavg,1.0,0.0,10000,10000,95.0,3900.0,13400.0,13400.0,True,100.0,100.0,50000.0,partition,memo_to_end,5000.0,50000.0,0.0030643358131783316,0.8654002873608266,0.19735842943191528,0.0,99.31683349609375,0.19735842943191528,100.0,0.007046119309961796,3.577298411983065e-05
fede_addition_f0b331026554,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,456,10,5,1.0,operand,0.5,fedavg,1.0,0.0,10000,10000,95.0,3900.0,13400.0,13400.0,True,100.0,100.0,50000.0,partition,init_to_end,0.0,50000.0,0.002623957787000109,0.507359898939557,0.8957036733627319,0.0,100.0,0.8957036733627319,100.0,0.010307802818715572,3.577298411983065e-05
fede_addition_f0b331026554,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,456,10,5,1.0,operand,0.5,fedavg,1.0,0.0,10000,10000,95.0,3900.0,13400.0,13400.0,True,100.0,100.0,50000.0,partition,fed_to_twin,50000.0,50000.0,0.00024298602329508867,7.007404875078929,100.0,0.0,100.0,100.0,100.0,3.577298411983065e-05,3.35782315232791e-05
