id,setup,mode,group,axis,step,irrep,in_fraction,out_fraction
cent_008bde8c6684,D,centralized,d_internals,centralised,6000.0,2111,0.13849897735212122,0.1355817113174371
cent_008bde8c6684,D,centralized,d_internals,centralised,6000.0,11111,0.00881349424718915,0.00860697283213195
cent_008bde8c6684,D,centralized,d_internals,centralised,6500.0,5,0.003937474779299492,0.005181122416969764
cent_008bde8c6684,D,centralized,d_internals,centralised,6500.0,41,0.1317885370311852,0.13084235039896014
cent_008bde8c6684,D,centralized,d_internals,centralised,6500.0,32,0.20771286453425916,0.21519172397357714
cent_008bde8c6684,D,centralized,d_internals,centralised,6500.0,311,0.29058160905591557,0.28787436804865585
cent_008bde8c6684,D,centralized,d_internals,centralised,6500.0,221,0.21808587323642012,0.21590675555643118
cent_008bde8c6684,D,centralized,d_internals,centralised,6500.0,2111,0.1389687940911781,0.13602082968471751
cent_008bde8c6684,D,centralized,d_internals,centralised,6500.0,11111,0.008924847271742344,0.008982849920688455
cent_008bde8c6684,D,centralized,d_internals,centralised,7500.0,5,0.003918241234128301,0.006137023581799913
cent_008bde8c6684,D,centralized,d_internals,centralised,7500.0,41,0.13170392413155715,0.12954952918968027
cent_008bde8c6684,D,centralized,d_internals,centralised,7500.0,32,0.20547724837649434,0.21320788569262317
cent_008bde8c6684,D,centralized,d_internals,centralised,7500.0,311,0.28723028773310055,0.28368880368255955
cent_008bde8c6684,D,centralized,d_internals,centralised,7500.0,221,0.21745671928689295,0.2141353204436375
cent_008bde8c6684,D,centralized,d_internals,centralised,7500.0,2111,0.13822577272264477,0.13595370564829093
cent_008bde8c6684,D,centralized,d_internals,centralised,7500.0,11111,0.015987806515181942,0.017327731761408668
cent_008bde8c6684,D,centralized,d_internals,centralised,10000.0,5,0.0030219164171334974,0.007772571791141474
cent_008bde8c6684,D,centralized,d_internals,centralised,10000.0,41,0.13633038921906565,0.13324136575645315
cent_008bde8c6684,D,centralized,d_internals,centralised,10000.0,32,0.2066927447834488,0.21073981425816354
cent_008bde8c6684,D,centralized,d_internals,centralised,10000.0,311,0.2815805910425225,0.27800907755752496
cent_008bde8c6684,D,centralized,d_internals,centralised,10000.0,221,0.21366499544991815,0.21032304698551463
cent_008bde8c6684,D,centralized,d_internals,centralised,10000.0,2111,0.1395147401460887,0.13946609152856349
cent_008bde8c6684,D,centralized,d_internals,centralised,10000.0,11111,0.019194622941822764,0.020448032122638755
cent_008bde8c6684,D,centralized,d_internals,centralised,12500.0,5,0.0028799093432414656,0.008577631668314822
cent_008bde8c6684,D,centralized,d_internals,centralised,12500.0,41,0.1440890541915963,0.14149550884824613
cent_008bde8c6684,D,centralized,d_internals,centralised,12500.0,32,0.2087674020898544,0.2104420684735038
cent_008bde8c6684,D,centralized,d_internals,centralised,12500.0,311,0.27265871207773607,0.27360627301961743
cent_008bde8c6684,D,centralized,d_internals,centralised,12500.0,221,0.21093953372940324,0.20743219353365883
cent_008bde8c6684,D,centralized,d_internals,centralised,12500.0,2111,0.14706521655102447,0.14487401635995428
cent_008bde8c6684,D,centralized,d_internals,centralised,12500.0,11111,0.013600172017144054,0.013572308096704686
cent_008bde8c6684,D,centralized,d_internals,centralised,16000.0,5,0.0024275746799382694,0.008739538578856735
cent_008bde8c6684,D,centralized,d_internals,centralised,16000.0,41,0.15594775559352902,0.15132146789185785
cent_008bde8c6684,D,centralized,d_internals,centralised,16000.0,32,0.20900181720246064,0.20643879557961195
cent_008bde8c6684,D,centralized,d_internals,centralised,16000.0,311,0.25862701668683924,0.26636324117560356
cent_008bde8c6684,D,centralized,d_internals,centralised,16000.0,221,0.21127950828416653,0.2114474541454929
cent_008bde8c6684,D,centralized,d_internals,centralised,16000.0,2111,0.15624943975254227,0.14921387900001476
cent_008bde8c6684,D,centralized,d_internals,centralised,16000.0,11111,0.0064668878005240205,0.006475623628562259
cent_008bde8c6684,D,centralized,d_internals,centralised,18500.0,5,0.0021843140841771797,0.008410309030327544
cent_008bde8c6684,D,centralized,d_internals,centralised,18500.0,41,0.1619341014194493,0.1550482852675233
cent_008bde8c6684,D,centralized,d_internals,centralised,18500.0,32,0.20646374103229817,0.20633766338132678
cent_008bde8c6684,D,centralized,d_internals,centralised,18500.0,311,0.24784036423184097,0.25526815451339907
cent_008bde8c6684,D,centralized,d_internals,centralised,18500.0,221,0.21732523681333996,0.2146289037679983
