id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,path,step_a,step_b,lambda,loss_tr,acc_tr,loss_te,acc_te
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,memo_to_end,500.0,40000.0,0.5,1.5542372465133667,94.34210968017578,2.8105623722076416,52.15608596801758
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,memo_to_end,500.0,40000.0,0.6000000000000001,0.8417052626609802,99.57601928710938,1.930331826210022,80.661376953125
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,memo_to_end,500.0,40000.0,0.7000000000000001,0.20270772278308868,100.0,0.9584132432937622,95.5952377319336
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,memo_to_end,500.0,40000.0,0.8,0.015182124450802803,100.0,0.30178868770599365,99.23280334472656
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,memo_to_end,500.0,40000.0,0.9,0.0004502612864598632,100.0,0.06864627450704575,99.80158996582031
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,memo_to_end,500.0,40000.0,1.0,7.4764652708836365e-06,100.0,0.018156131729483604,99.88095092773438
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.0,4.7874860763549805,0.7894736528396606,4.7874908447265625,0.8068783283233643
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.1,4.767667770385742,31.301170349121094,4.772598743438721,16.534391403198242
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.2,4.6338725090026855,99.44444274902344,4.673648834228516,82.46031951904297
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.30000000000000004,4.2771477699279785,100.0,4.4107842445373535,97.75132751464844
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.4,3.597581624984741,100.0,3.9108405113220215,99.44444274902344
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.5,2.5298187732696533,100.0,3.1199135780334473,99.81481170654297
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.6000000000000001,1.180470585823059,100.0,2.0494749546051025,99.85449981689453
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.7000000000000001,0.22293755412101746,100.0,0.9416215419769287,99.85449981689453
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.8,0.014809730462729931,100.0,0.27715393900871277,99.86772155761719
