id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,step,twin_step,twin_id,component,value
fede_012f831aaa57,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,32,0.22678372562809107
fede_012f831aaa57,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,311,0.22765688099446446
fede_012f831aaa57,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,221,0.17149156833284251
fede_012f831aaa57,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,2111,0.12483104843262505
fede_012f831aaa57,D,federated,local_epochs,,s5,fed,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,11111,0.03785967580314664
fede_012f831aaa57,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,5,0.002018807031998455
fede_012f831aaa57,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,41,0.18181092082721678
fede_012f831aaa57,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,32,0.20944731621561868
fede_012f831aaa57,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,311,0.23912372542662555
fede_012f831aaa57,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,221,0.2084142147720939
fede_012f831aaa57,D,federated,local_epochs,,s5,twin,adamw,ce,0.3,1000,256,1.0,0.001,456,10,25,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,85.0,2700.0,87400.0,95100.0,True,100.0,86.91468238830566,250000.0,E,250000.0,250000,cent_99fe60d0d1c1,2111,0.15730514980329083
