id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,step,twin_step,tw_step_gap,twin_id,tw_rel_dist,tw_cos,tw_first_rel_dist,tw_pred_agree_te,tw_twin_acc_te,tw_fed_acc_te,tw_cka_te,tw_pred_agree_grid,tw_clock_key_jaccard,tw_clock_energy_cos,tw_irrep_same_dominant,tw_irrep_frac_cos
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,10020.06164965941,10000,0.0020021483261125606,cent_addition_b8087ce1fe2f,0.4668678641319275,0.9098982810974121,0.4808109700679779,0.3783477544784546,1.5020546913146973,2.989938974380493,0.2619931887255317,0.5336380004882812,0.868421052631579,0.9542540721231189,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,20040.167942177424,20000,0.0020043715348754656,cent_addition_b8087ce1fe2f,0.726163923740387,0.7881407737731934,0.7614852786064148,0.4185914695262909,46.138587951660156,54.78248596191406,0.24840495225758263,0.5639281868934631,0.8928571428571429,0.89682655198317,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,30060.03401361085,30000,0.0019971372482036134,cent_addition_b8087ce1fe2f,0.8821588754653931,0.6630033850669861,0.9229071736335754,0.9991497993469238,99.97166442871094,99.94332122802734,0.14879840863814425,0.9993623495101929,0.7105263157894737,0.9366518070180826,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,40080.03613946605,40000,0.0019969078667381817,cent_addition_b8087ce1fe2f,0.9805180430412292,0.5733452439308167,1.0145032405853271,1.0,100.0,100.0,0.1439048391828101,1.0,0.782608695652174,0.97850071359411,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,45090.01913266576,46000,0.020181425620088057,cent_addition_b8087ce1fe2f,1.0047436952590942,0.5457449555397034,1.0373338460922241,1.0,100.0,100.0,0.15527887778413527,1.0,0.8085106382978723,0.9915500265369803,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,50100.085034028736,50000,0.0019977018793632157,cent_addition_b8087ce1fe2f,1.0169576406478882,0.5316792130470276,1.0469111204147339,1.0,100.0,100.0,0.1630502228532165,1.0,0.8297872340425532,0.9954728062074666,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,55110.11054423525,56000,0.016147480870147467,cent_addition_b8087ce1fe2f,1.0247560739517212,0.518790066242218,1.0519754886627197,1.0,100.0,100.0,0.16863697821314613,1.0,0.8695652173913043,0.9972348174196708,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,60120.0956632853,60000,0.001997596011122763,cent_addition_b8087ce1fe2f,1.0304065942764282,0.5113546848297119,1.0549979209899902,1.0,100.0,100.0,0.1713013517702021,1.0,0.8913043478260869,0.9982187173994226,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,65129.985119070036,66000,0.013358131117939168,cent_addition_b8087ce1fe2f,1.0345633029937744,0.5040774345397949,1.0569415092468262,1.0,100.0,100.0,0.17191744077628604,1.0,0.8913043478260869,0.9988670458229669,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,70140.02338436742,70000,0.0019963407140612577,cent_addition_b8087ce1fe2f,1.037324070930481,0.4998083710670471,1.0574722290039062,1.0,100.0,100.0,0.1735414117113869,1.0,0.8913043478260869,0.999267434270359,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,75150.12755102437,76000,0.01130899542916402,cent_addition_b8087ce1fe2f,1.0391870737075806,0.49544239044189453,1.0574140548706055,1.0,100.0,100.0,0.17400465131146556,1.0,0.8913043478260869,0.9995314413565833,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,80160.09991496023,80000,0.0019972519386836384,cent_addition_b8087ce1fe2f,1.0411312580108643,0.49266624450683594,1.0576417446136475,1.0,100.0,100.0,0.1745594684527317,1.0,0.8333333333333334,0.9996985406713146,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,85170.06164964438,86000,0.009744484555730995,cent_addition_b8087ce1fe2f,1.0421162843704224,0.48979705572128296,1.0570807456970215,0.9998583197593689,100.0,99.98583221435547,0.17472879584204953,0.9998937249183655,0.8333333333333334,0.9998041082798927,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,90180.05739793398,90000,0.0019966431950630753,cent_addition_b8087ce1fe2f,1.04319167137146,0.4879375100135803,1.056718349456787,0.9998583197593689,100.0,99.98583221435547,0.17535518586437956,0.9998937249183655,0.8333333333333334,0.9998640543679914,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,95189.95323125759,96000,0.008509792696025973,cent_addition_b8087ce1fe2f,1.0438218116760254,0.4859122335910797,1.056119680404663,0.9998583197593689,100.0,99.98583221435547,0.17541978300666541,0.9998937249183655,0.8333333333333334,0.9999137502403461,,
fede_addition_01cd398ba402,A,federated,participation,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,123,50,5,0.6,iid,0.5,fedavg,1.0,0.0,33400,10000,95.0,2040.0318877551042,25920.076530615646,25920.076530615646,True,100.0,99.98583197593689,100199.87244893494,f,100199.87244893494,100000,0.0019947375585413246,cent_addition_b8087ce1fe2f,1.0443886518478394,0.4845968782901764,1.0554430484771729,0.9998583197593689,100.0,99.98583221435547,0.17624971027184852,0.9998937249183655,0.8333333333333334,0.9999357140656876,,
fede_addition_01ff7f831825,A,federated,boundary,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,456,97,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,17300.0,77300.0,77500.0,True,100.0,100.0,100000.0,K,10000.0,10000,0.0,cent_addition_6172f0f23c2c,0.6067264080047607,0.847809910774231,0.6409912705421448,0.3189740777015686,1.5162250995635986,0.7085163593292236,0.22641372200947962,0.4841109812259674,0.7857142857142857,0.953769631125327,,
fede_addition_01ff7f831825,A,federated,boundary,,modular,groknet,gd,mse,0.25,1000,256,0.0,50.0,456,97,5,1.0,operand,0.5,fedavg,1.0,0.0,20000,10000,95.0,17300.0,77300.0,77500.0,True,100.0,100.0,100000.0,K,20000.0,20000,0.0,cent_addition_6172f0f23c2c,0.9036483764648438,0.6520835757255554,0.9607353210449219,0.09990081191062927,38.03316116333008,2.1113789081573486,0.1916489835500467,0.32277607917785645,0.631578947368421,0.8323058867707869,,
