id,setup,mode,group,axis,point,x,step,train_acc,test_acc,train_loss,test_loss,weight_norm_layer1,weight_norm_layer2,weight_norm_total,weight_norm_first,weight_norm_last,ipr,coset_accuracy,coset_purity,grad_norm_layer1,grad_norm_layer2,circ_share_interaction,circ_share_marginal,circ_acc_interaction,circ_acc_marginal,circ_units,irrep_structure_u,irrep_structure_v,embed_ipr,mean_client_drift,client_weight_divergence
cent_002bcf47b251,D,centralized,central_anchor,centralised,0,0.020000000000000004,156.00000000000003,64.04222297668458,0.9833333455026153,3.1873540306091304,4.862844467163086,59.78892974853517,34.04191520690919,68.83193818310876,59.78892974853517,34.04191520690919,,0.20775000333786012,0.04686150529908391,0.044560408070683497,0.037760973200202,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,1,0.02316646572509421,180.69843265573485,77.70868926210525,1.2577603816558622,2.6274204333033597,4.8694161059484005,68.67507615977665,40.17604254701057,79.58063976617808,68.67507615977665,40.17604254701057,,0.20963668859322934,0.05970207269873551,0.056228994311591986,0.046455337157413026,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,2,0.026834256709598235,209.30720233486625,89.46955952641775,1.8496810232290513,2.02002165504008,4.853933353882093,77.3708794385064,46.22297763609697,90.12808756093095,77.3708794385064,46.22297763609697,,0.21507960054270864,0.08352142463171512,0.06259939550108257,0.05089097452707212,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,3,0.031082744416064338,242.44540644530184,93.3172728484263,3.1936193567305713,1.4153915884629695,4.780521671300902,83.60662469139902,50.68490792967107,97.7740614662288,83.60662469139902,50.68490792967107,,0.22920936061988617,0.13260129771317575,0.05281346904461912,0.042492072168744455,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,4,0.036003866657830896,280.83015993108097,97.77416878814127,4.7503344237157314,0.715034502776966,4.695487209883971,90.8296336249768,55.853265690363266,106.63057108683118,90.8296336249768,55.853265690363266,,0.24557619074647305,0.18945165758985733,0.041478202552521465,0.03276342798811391,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,5,0.04170411714497507,325.29211373080557,100.0,6.620256734414369,0.3102732532443293,4.531034039727978,95.25738006976717,59.08019529922085,112.09137887695886,95.25738006976717,59.08019529922085,,0.26253198454560506,0.24908282842708798,0.031529709982517765,0.024534354141505562,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,6,0.04830685002171894,376.7934301694077,100.0,8.84482741109978,0.19829137232193114,4.282639116317075,96.92809626018237,60.39518180042306,114.20451339784796,96.92809626018237,60.39518180042306,,0.2804143946137799,0.3126943025750291,0.0227992161251425,0.01767121415071378,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,7,0.05595494926577091,436.4486042730131,100.0,12.018951707898704,0.13264034272313527,3.994502369875224,97.6871024168926,61.094674886028514,115.21867293878212,97.6871024168926,61.094674886028514,,0.30583594683885407,0.38833640876632786,0.017342650518877126,0.013378018206544967,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,8,0.06481392071574335,505.54858158279814,100.0,16.184709006707266,0.1050205511392702,3.662175255840199,97.67562992013873,61.278368757087776,115.30641215131676,97.67562992013873,61.278368757087776,,0.3392861497417944,0.4760915356509408,0.014566889035199598,0.011189243688379797,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,9,0.07507547363851208,585.5886943803943,100.0,21.654117461962457,0.08869852033212164,3.300245176064187,97.35472324536254,61.2380165029552,115.01321834255688,97.35472324536254,61.2380165029552,,0.38508687703112526,0.5603874115548666,0.012821622610604273,0.009814140725467596,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,10,0.0869616693420902,678.3010208683036,100.0,29.066097481123,0.0748753863613886,2.9130330207690758,96.97113347037228,61.14129197788217,114.6370837581326,96.97113347037228,61.14129197788217,,0.44531651271226663,0.6502892075462561,0.01127315446622088,0.008599137076174605,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,11,0.10072972661052543,785.6918675620983,100.0,38.17863932101063,0.06295906917988055,2.5136536916330945,96.56978352609732,61.00903624930939,114.22708320941113,96.56978352609732,61.00903624930939,,0.5173262117029843,0.7367763200301897,0.009865418280321003,0.007500052586585538,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,12,0.1166775879510424,910.0851860181307,100.0,48.69955213791799,0.05280975807089347,2.127469636625743,96.20189074326638,60.85876549579639,113.83581674227173,96.20189074326638,60.85876549579639,,0.6041451523176778,0.8056879100087533,0.008594802372502743,0.006513364506164138,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,13,0.1351503671077244,1054.1728634402505,100.0,58.88869469637574,0.04433931590735421,1.7848577507830359,95.9269828810578,60.7081301708098,113.52296295060741,95.9269828810578,60.7081301708098,,0.6812067425554765,0.8639685080753022,0.0074684186171197955,0.005643457775741028,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,14,0.15654781736674986,1221.0729754606489,100.0,67.17614491407855,0.03705145259460905,1.4979589781305003,95.79130063030033,60.57152683356901,113.33527085553222,95.79130063030033,60.57152683356901,,0.7439895283622777,0.902837855567861,0.0064472637118247675,0.004858876765022379,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,15,0.18133298226825592,1414.3972616923961,100.0,73.47395914549946,0.030934321709714305,1.2878594167284403,95.86993906160703,60.46575116404031,113.34528388856728,95.86993906160703,60.46575116404031,,0.7933841689757447,0.9260707609272042,0.005542085114360224,0.004168204151365134,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,16,0.21004221592733333,1638.3292842332,100.0,76.63329724516704,0.025808651406731012,1.156735826982607,96.21133998297232,60.39684919864788,113.59755747334295,96.21133998297232,60.39684919864788,,0.8164858433638688,0.938566851370738,0.004742845903301286,0.0035639370112606414,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,17,0.2432967898051702,1897.7149604803276,100.0,77.78912809957944,0.02145072293471851,1.0927739396535612,96.82647989489496,60.36092946157515,114.0999977445331,96.82647989489496,60.36092946157515,,0.8244539930976883,0.9435230187624726,0.004029875075900391,0.003029824002522908,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,18,0.2818163371023462,2198.1674293983006,100.0,76.99756382037121,0.0177638213848508,1.083495625736873,97.68717408796215,60.36369116387885,114.8327462018154,97.68717408796215,60.36369116387885,,0.8193972271785105,0.9396852862073622,0.0033985243422143155,0.002559603893252093,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,19,0.32643442571265496,2546.1885205587087,100.0,75.44531746574536,0.014577793879577512,1.1058867162005193,98.72019199704923,60.416723419300524,115.74049044217898,98.72019199704923,60.416723419300524,,0.8077871382094306,0.9339721726671582,0.002832092888447153,0.0021388458785673603,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,20,0.3781165967381516,2949.3094545575827,100.0,73.7741898372234,0.011787487186909803,1.1372231210812067,99.80302391654449,60.534437513113105,116.72644927890508,99.80302391654449,60.534437513113105,,0.7968247720535118,0.9258496530450449,0.0023214427581675565,0.001758534365127116,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,21,0.43798125892118284,3416.253819585226,100.0,72.60571664218875,0.009358424805577994,1.1567125800411777,100.77289519781087,60.741516889778914,117.66353940118049,100.77289519781087,60.741516889778914,,0.78756581240269,0.921900938864618,0.001866126989954707,0.0014173113432415496,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,22,0.5073238911515597,3957.126350982166,100.0,71.90675316335462,0.007269857054708909,1.1473989095531707,101.4994314777587,61.06150166350605,118.45100919092376,101.4994314777587,61.06150166350605,,0.7830356234999258,0.9183078757317057,0.0014667016865436804,0.0011156018092835125,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,23,0.5876450767942016,4583.6315989947725,100.0,73.26009077069476,0.0054951828548429225,1.095940086171534,101.96734915365965,61.51608573857224,119.08639425811096,101.96734915365965,61.51608573857224,,0.7935933780839137,0.9231434874747809,0.0011216880563273053,0.0008531380165049612,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,24,0.6806829765036615,5309.3272167285595,100.0,75.74165548123797,0.004015815587720013,1.0033412864279294,102.22496347680583,62.10897155168067,119.61382785420386,102.22496347680583,62.10897155168067,,0.8155369021184451,0.9287338345883699,0.0008308121599247621,0.0006307951986144866,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,25,0.788450942241359,6149.9173494826,100.0,78.86083590104967,0.002811561445638565,0.8816036557995317,102.39304067967056,62.82737529660797,120.1316564681794,102.39304067967056,62.82737529660797,,0.840623525540755,0.9381220826147727,0.0005922890415863052,0.00044847271099248234,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,26,0.9132810864676338,7123.592474447544,100.0,82.14559156976286,0.001869035139016891,0.7400617534973678,102.53231706983688,63.68009272014381,120.6980993160526,102.53231706983688,63.68009272014381,,0.8625014833750072,0.952410785103866,0.000403863272275219,0.0003046713319507187,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,27,1.057874749351462,8251.423044941403,100.0,87.43806817295709,0.001165689466525387,0.5665731623562712,102.6551286539679,64.7559190207906,121.37300308038134,102.6551286539679,64.7559190207906,,0.9024958172224844,0.9688461922139083,0.0002599137827874505,0.0001950173076511835,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,28,1.2253609561146632,9557.815457694373,100.0,92.02171156349114,0.0006743002959716246,0.3965248654947087,102.98266005842167,65.97557824999689,122.30374476837552,102.98266005842167,65.97557824999689,,0.9398742055063879,0.979084929910855,0.00015540249058210233,0.00011604628888630186,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,29,1.4193641295349506,11071.040210372616,100.0,94.79166865348816,0.0003607017288472277,0.28023655627942645,103.58011115838399,67.3647829981593,123.55911164551013,103.58011115838399,67.3647829981593,,0.9578764579833556,0.9896022352105843,8.610975194095081e-05,6.393200485185238e-05,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,30,1.6440825229149805,12823.843678736848,100.0,96.48877994423884,0.0001776337766708667,0.19281530860770923,104.29332393414991,68.94232104751045,125.0205641765984,104.29332393414991,68.94232104751045,,0.9723878376825358,0.9922870271832893,4.4047955155258035e-05,3.247097718073817e-05,,,,,,,,,,
cent_002bcf47b251,D,centralized,central_anchor,centralised,31,1.9043790708168153,14854.15675237116,100.0,97.82175665689105,8.125017607793024e-05,0.12784995848102546,105.0870705770005,70.64286525563652,126.62427634155485,105.0870705770005,70.64286525563652,,0.9836226848499787,0.994504864570236,2.0977025045543987e-05,1.5344582099463995e-05,,,,,,,,,,
