setup,metric,n_runs,median_lead_frac_delay,frac_runs_leading
A,add_acc_additive_te,105,-0.62,0.02857142857142857
A,add_acc_additive_tr,106,-0.3080216572327661,0.24528301886792453
A,add_acc_interaction_te,104,0.08230592060696382,0.5384615384615384
A,add_acc_interaction_tr,94,0.4633196128041489,1.0
A,add_acc_no_a_te,104,0.08230592060696382,0.5384615384615384
A,add_acc_no_a_tr,92,0.44951581581451117,1.0
A,add_acc_no_b_te,104,0.08230592060696382,0.5384615384615384
A,add_acc_no_b_tr,91,0.4424778761061947,1.0
A,add_share_a,106,-0.04665051064566384,0.46226415094339623
A,add_share_b,106,0.08230592060696382,0.5188679245283019
A,add_share_interaction,106,-0.02727272727272727,0.4811320754716981
A,circ_acc_interaction_te,103,0.08264462809917356,0.5436893203883495
A,circ_acc_interaction_tr,94,0.48094437438699733,1.0
A,circ_acc_marginal_te,106,-0.5517832893764725,0.03773584905660377
A,circ_acc_marginal_tr,106,-0.31351986947050475,0.2830188679245283
A,circ_share_interaction_te,106,-0.25555555555555554,0.08490566037735849
A,circ_share_interaction_tr,106,-0.4845002634314437,0.3018867924528302
A,circ_share_marginal_te,106,0.39805825242718446,0.8584905660377359
A,circ_share_marginal_tr,106,0.3225806451612903,0.8490566037735849
A,circ_units_te,106,0.11358793904958678,0.5283018867924528
A,circ_units_tr,106,0.11358793904958678,0.5283018867924528
A,clock_excluded_acc_te,106,-1.7635101155095327,0.018867924528301886
A,clock_excluded_acc_tr,104,-0.27281613791877724,0.36538461538461536
A,clock_excluded_loss_te,106,-0.6717862402693036,0.009433962264150943
A,clock_excluded_loss_tr,106,-0.32957341515140903,0.07547169811320754
A,clock_freq_gini,106,-0.7576822491010133,0.03773584905660377
A,clock_key_jaccard_final,106,-1.2342414529914532,0.018867924528301886
A,clock_nfreq90,105,-1.0141342756183747,0.047619047619047616
A,clock_restricted_loss_te,106,0.036008216301105844,0.5094339622641509
A,clock_restricted_loss_tr,106,0.036008216301105844,0.5094339622641509
A,clock_share,106,-0.3168724279835391,0.04716981132075472
A,clock_top1_share,106,-0.4857223689173896,0.02830188679245283
A,fU_dc_share,106,-1.8248006342665928,0.0660377358490566
A,fU_freq_eff_n,106,0.3593597395550733,0.7924528301886793
A,fU_freq_gini,106,0.37218045112781956,0.8679245283018868
A,fU_ipr,106,-0.4403109681372549,0.0660377358490566
A,fU_nfreq90,74,0.29083356272365557,0.8648648648648649
A,fU_top1_share,106,0.3438397581254724,0.7264150943396226
A,fV_dc_share,106,-1.886593675579837,0.0660377358490566
A,fV_freq_eff_n,106,0.35789473684210527,0.7830188679245284
A,fV_freq_gini,106,0.3842268842268842,0.8867924528301887
A,fV_ipr,106,-0.4364047181372549,0.0660377358490566
A,fV_nfreq90,62,0.3040519151630263,0.8870967741935484
A,fV_top1_share,106,0.3188990182328191,0.5660377358490566
A,fin_n_unique_freq_strong,99,0.37373737373737376,0.8888888888888888
A,fin_uv_agree_strong,106,0.37140034364261165,0.9150943396226415
A,fin_uvw_agree_strong,106,0.32376334079739433,0.8962264150943396
A,fn_acc_te,104,0.08230592060696382,0.5384615384615384
A,fn_acc_tr,91,0.4424778761061947,1.0
A,fn_class_acc_gini,104,0.3716572358731881,0.9230769230769231
A,fn_entropy_te,106,-0.5834374699605882,0.05660377358490566
A,fn_entropy_tr,106,-0.309727791995445,0.03773584905660377
A,fn_gap_acc,104,0.08230592060696382,0.5384615384615384
A,fn_gap_loss,106,-0.5106399514961568,0.018867924528301886
A,fn_loss_te,106,-0.3716834674786951,0.03773584905660377
A,fn_loss_tr,106,-0.11239431107534428,0.3490566037735849
A,fn_margin_te,106,-0.37187791912505236,0.04716981132075472
A,fn_margin_tr,106,-0.15895224069009045,0.25471698113207547
A,fout_dc_share,106,0.43108409666880154,0.8962264150943396
A,fout_freq_eff_n,106,-0.5813004131418453,0.09433962264150944
A,fout_freq_gini,106,-0.32924579578170643,0.16981132075471697
A,fout_ipr,106,-0.19245557074504444,0.0660377358490566
A,fout_nfreq90,101,-0.19318181818181818,0.40594059405940597
A,fout_top1_share,106,-0.6947368421052632,0.04716981132075472
A,rep_between_within_te,106,-0.13193049790987937,0.27358490566037735
A,rep_between_within_tr,106,-0.1206060606060606,0.3018867924528302
A,rep_eff_rank_te,106,-0.522633744855967,0.2641509433962264
A,rep_nc1_tr,106,0.33676975945017185,0.7075471698113207
A,rep_pr_te,106,-0.1111111111111111,0.3867924528301887
A,rep_unit_gini_te,106,-0.0917662434652726,0.37735849056603776
A,rep_unit_pr_te,106,-0.05369251179245283,0.44339622641509435
A,sharp_grad_norm,106,-1.2002053801546393,0.24528301886792453
A,sharp_lambda_max,106,-0.6550127614541832,0.3018867924528302
A,sharp_lr_lambda,106,-0.6550127614541832,0.3018867924528302
A,unit_fourier_diff_share,106,-0.08070574843483211,0.3584905660377358
A,unit_fourier_marginal_share,106,0.29213483146067415,0.5566037735849056
A,unit_fourier_other_share,106,-0.25555555555555554,0.19811320754716982
A,unit_fourier_sum_share,106,-0.08070574843483211,0.3584905660377358
A,unit_frac_interacting,106,-0.3849056603773585,0.22641509433962265
A,unit_interaction_share,106,0.29213483146067415,0.5566037735849056
A,unit_n_distinct_sum_freqs,23,-0.08737864077669903,0.43478260869565216
A,unit_sum_freq_concentration,106,-0.067303686579162,0.3584905660377358
A,w_W1_cos_init,106,-0.013636363636363636,0.49056603773584906
A,w_W1_dist_init,106,0.10307530209739554,0.5283018867924528
A,w_W1_eff_rank,106,-1.5638124915323126,0.19811320754716982
A,w_W1_entry_gini,106,-0.7742708174631387,0.24528301886792453
A,w_W1_fro,106,0.04946996466431096,0.5188679245283019
A,w_W1_rel_dist_init,106,0.10307530209739554,0.5283018867924528
A,w_W1_row_gini,106,-0.12720848056537104,0.32075471698113206
A,w_W1_row_pr,106,-0.24244774833010127,0.3018867924528302
A,w_W1_spec,106,-1.6272336234536753,0.19811320754716982
A,w_W1_stable_rank,106,-1.4513296585615694,0.1509433962264151
A,w_W1_sv_gini,106,-1.5505331847843387,0.19811320754716982
A,w_W2_cos_init,106,0.16536116331281003,0.5377358490566038
A,w_W2_dist_init,106,-0.31214646134159285,0.07547169811320754
A,w_W2_eff_rank,106,-0.10612888211898114,0.44339622641509435
A,w_W2_entry_gini,106,-0.2400197458791209,0.08490566037735849
A,w_W2_fro,106,-0.31214646134159285,0.07547169811320754
A,w_W2_rel_dist_init,106,-0.31214646134159285,0.07547169811320754
A,w_W2_row_gini,106,-0.3528767873024561,0.04716981132075472
A,w_W2_row_pr,106,-0.22826086956521738,0.08490566037735849
A,w_W2_spec,106,-0.7589516243438785,0.08490566037735849
A,w_W2_stable_rank,106,-0.16584317937701396,0.3867924528301887
A,w_W2_sv_gini,106,-0.0917662434652726,0.4528301886792453
A,w_all_cos_init,106,-0.02727272727272727,0.4811320754716981
A,w_all_dist_init,106,0.055460448486206,0.5188679245283019
A,w_all_norm,106,-0.04892003676470588,0.4339622641509434
A,w_all_rel_dist_init,106,0.055460448486206,0.5188679245283019
A,w_all_rel_norm,106,-0.04892003676470588,0.4339622641509434
A',add_acc_additive_te,32,-0.25561541553302003,0.0625
A',add_acc_additive_tr,32,-0.17919107706173953,0.21875
A',add_acc_interaction_te,32,0.13956247428336305,0.78125
A',add_acc_interaction_tr,24,0.4842210721868365,0.9583333333333334
A',add_acc_no_a_te,32,0.07810877021068104,0.71875
A',add_acc_no_a_tr,23,0.5191956124314442,0.9565217391304348
A',add_acc_no_b_te,32,0.08682692307692308,0.71875
A',add_acc_no_b_tr,23,0.49469214437367304,0.9565217391304348
A',add_share_a,32,-0.17919107706173953,0.1875
A',add_share_b,32,-0.21063943267587643,0.21875
A',add_share_interaction,32,-0.1945118886877335,0.1875
A',circ_acc_interaction_te,32,0.11962514565038224,0.75
A',circ_acc_interaction_tr,26,0.39753086419753086,0.9615384615384616
A',circ_acc_marginal_te,32,-0.31169390865612023,0.0625
A',circ_acc_marginal_tr,32,-0.17095238095238097,0.1875
A',circ_share_interaction_te,32,-0.29885551653142783,0.15625
