setup,axis,family,cell,phase,metric,n,median,q25,q75
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_coherence,44,3.4940170021501245e-07,3.4475132689988506e-07,3.5501628448792473e-07
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_key_n,44,42.5,42.0,43.0
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share,44,0.8851679773981828,0.8747912783817047,0.8955632968866888
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share_uniform,44,0.8854166666666667,0.875,0.8958333333333334
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_over_uniform,44,0.999730498437065,0.999397221192382,1.0000908963399326
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_key_agreement,44,2.7218925115051653e-29,1.4913980936330314e-29,3.4265999506573486e-29
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_neuron_freq_agree,44,0.9959375,0.9923046875,0.9983203125
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_n,56,50.0,50.0,50.0
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_agg_gap,56,2.7089638654859347e-06,1.9496975120209603e-06,3.728551554814091e-06
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_rel_spread,56,0.004491616867770124,0.0032112112805943475,0.006140515831481201
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_cos_global_mean,56,0.9999899116465278,0.9999811448562529,0.9999948441795639
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_cos_global_min,56,0.9999889163226638,0.9999791595511998,0.9999940087114405
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_dev_pair_cos,56,-0.020395475233820237,-0.020399540972929082,-0.02039001924390673
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_dev_eff_rank_frac,56,0.998851024647391,0.9983898688149071,0.9991023963046218
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_coherence,56,3.6012336639087453e-07,3.5149367098352585e-07,3.6639214845233714e-07
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_key_n,56,42.0,42.0,43.0
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_dev_key_share,56,0.875254795896123,0.8746181627131869,0.8956347549127817
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_dev_key_share_uniform,56,0.875,0.875,0.8958333333333334
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_dev_key_over_uniform,56,0.999773386647864,0.9994855090133743,1.0002697465519172
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_key_agreement,56,1.0679875095395918e-28,5.925465826570324e-29,2.0758893538269373e-28
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,post_cross,cli_neuron_freq_agree,56,0.99984375,0.9979296875,1.0
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_n,86,97.0,97.0,97.0
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_agg_gap,86,1.4793743567545346e-05,1.2755586945307464e-05,1.619451229005416e-05
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_rel_spread,86,0.008154784448901603,0.0069471026708951234,0.008901682854198747
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_cos_global_mean,86,0.9999667525799789,0.9999603850687713,0.999975871400619
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_cos_global_min,86,0.9999590340492693,0.9999526460844592,0.9999715576683847
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_dev_pair_cos,86,-0.010398253404031468,-0.010399680155474714,-0.010396182875738728
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_dev_eff_rank_frac,86,0.9978665603979402,0.9977684392236545,0.9979464227830979
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_coherence,86,3.3146438220210872e-06,3.2684571756978454e-06,3.3530418931350913e-06
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_key_n,86,43.0,43.0,43.0
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share,86,0.8958058962675892,0.8955164033771282,0.8960573155071064
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share_uniform,86,0.8958333333333334,0.8958333333333334,0.8958333333333334
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_over_uniform,86,1.0000112727073516,0.9997284136108693,1.0002762016325961
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_key_agreement,86,3.233487468267349e-29,2.8167721999936116e-29,4.3790139515224976e-29
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,delay_or_stalled,cli_neuron_freq_agree,86,0.9975434922680413,0.9945836018041238,0.9993355347938144
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_n,2,97.0,97.0,97.0
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_agg_gap,2,1.0272893196093711e-05,1.0240438250089342e-05,1.030534814209808e-05
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_rel_spread,2,0.005656269822758289,0.005602714175005131,0.0057098254705114475
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_cos_global_mean,2,0.9999839984566106,0.9999836955513279,0.9999843013618931
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_cos_global_min,2,0.9999792210674423,0.9999779542082434,0.9999804879266412
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_dev_pair_cos,2,-0.010397312793801409,-0.0103982439819432,-0.01039638160565962
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_dev_eff_rank_frac,2,0.9972768438939239,0.9972330434102108,0.997320644377637
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_coherence,2,3.3006593169102735e-06,3.259013100190029e-06,3.342305533630518e-06
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_key_n,2,42.5,42.25,42.75
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_dev_key_share,2,0.8851178776182844,0.8799548740034258,0.8902808812331432
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_dev_key_share_uniform,2,0.8854166666666667,0.8802083333333334,0.890625
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_dev_key_over_uniform,2,0.9996637021970027,0.9996144845020374,0.9997129198919682
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_key_agreement,2,6.295096648042641e-29,6.202583913967485e-29,6.387609382117798e-29
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,post_cross,cli_neuron_freq_agree,2,0.9980670103092784,0.9973421391752577,0.9987918814432989
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_n,12,97.0,97.0,97.0
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_agg_gap,12,1.503120574976963e-05,1.4993988602096424e-05,1.551888444194518e-05
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_rel_spread,12,0.008295073573269147,0.008248147005980328,0.008515563163037695
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_cos_global_mean,12,0.9999655994849428,0.9999637404409791,0.9999659878654369
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_cos_global_min,12,0.9999563299824268,0.9999548779636976,0.9999579291163094
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_dev_pair_cos,12,-0.010395540105093599,-0.010396140943376108,-0.0103953188831068
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_dev_eff_rank_frac,12,0.9978676549708179,0.9978319750639757,0.9978845398266152
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_coherence,12,3.302136636163113e-06,3.2767090564605108e-06,3.3174311325974425e-06
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_key_n,12,43.0,43.0,43.0
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_dev_key_share,12,0.8962164775001245,0.8960195154629156,0.8964344919016839
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_dev_key_share_uniform,12,0.8958333333333334,0.8958333333333334,0.8958333333333334
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_dev_key_over_uniform,12,1.0004276958140923,1.0002078312144174,1.000671060727461
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_key_agreement,12,3.134980235150849e-29,3.0053489558051625e-29,3.228136903102835e-29
A,K,0.25|wd0.0,boundary K97 E5 f1 iid fedavg,pre_memo,cli_neuron_freq_agree,12,0.9950869845360825,0.9924492590206185,0.9964159149484536
A,K,0.25|wd0.0,boundary K97 E5 f1 operand fedavg,delay_or_stalled,cli_n,63,97.0,97.0,97.0
A,K,0.25|wd0.0,boundary K97 E5 f1 operand fedavg,delay_or_stalled,cli_agg_gap,63,0.00014972716849855053,0.00013406655103655025,0.00016300259079758214
